Date,Aircraft Type,Aircraft Registration,Route of Flight From,Route of Flight Via,Route of Flight To,Duration of Flight,PIC,SIC,Cross Country,Dual Received,Solo,Part 121,Part 135,Day T-O,Day Ldg,Night T-O,Night Ldg,Approaches Instrument,Approaches Non-Instrument,Night,Actual Instrument,Simulated Instrument,Flight Simulator
2017-05-08,E170,N204JQ,KORD,,KLGA,1:54,,1:54,1:54,,,,,1,1,,,,,,1:54,,
2017-05-18,E170,N874RW,KORD,,KLGA,2:06,,2:06,2:06,,,,,1,1,,,,,,2:06,,
2017-05-18,E170,N874RW,KLGA,,KORD,3:07,,3:07,3:07,,,,,1,1,,,,,,3:07,,
2017-05-18,E170,N874RW,KORD,,KLGA,3:06,,3:06,3:06,,,,,1,,,1,,,2:43,3:06,,
2017-05-19,E170,N211JQ,KLGA,,KIAH,3:58,,3:58,3:58,,,,,1,1,,,,,,3:58,,
2017-05-19,E170,N211JQ,KIAH,,KLGA,3:57,,3:57,3:57,,,,,1,,,1,,,1:29,3:57,,
2017-05-20,E170,N870RW,KLGA,,KBNA,2:40,,2:40,2:40,,,,,1,1,,,,,,2:40,,
2017-05-20,E170,N870RW,KBNA,,KLGA,2:20,,2:20,2:20,,,,,1,1,,,,,,2:20,,
2017-05-20,E170,N872RW,KLGA,,KBOS,1:06,,1:06,1:06,,,,,1,1,,,,,,1:06,,
2017-05-21,E170,N872RW,KBOS,,KLGA,1:16,,1:16,1:16,,,,,1,1,,,,,,1:16,,
2017-05-21,E170,N207JQ,KLGA,,KORD,2:22,,2:22,2:22,,,,,1,1,,,,,,2:22,,
2017-05-23,E170,N205JQ,KLGA,,KBNA,2:38,,2:38,2:38,,,,,1,1,,,,,,2:38,,
2017-05-24,E170,N207JQ,KBNA,,KLGA,2:27,,2:27,2:27,,,,,1,1,,,,,,2:27,,
2017-05-24,E170,N211JQ,KLGA,,KDFW,4:24,,4:24,4:24,,,,,1,1,,,,,,4:24,,
2017-05-25,E170,N201JQ,KDFW,,KLGA,4:17,,4:17,4:17,,,,,1,1,,,,,,4:17,,
2017-05-29,E170,N414YX,KLGA,,KPIT,1:21,,1:21,1:21,,,,,1,1,,,,,,1:21,,
2017-06-01,E170,N214JQ,KORD,,KLGA,2:07,,2:07,2:07,,,,,1,1,,,,,,2:07,,
2017-06-01,E170,N824MD,KLGA,,KCMH,1:47,,1:47,1:47,,,,,1,1,,,,,,1:47,,
2017-06-02,E170,N875RW,KLGA,,KORD,2:17,,2:17,2:17,,,,,1,1,,,,,,2:17,,
2017-06-02,E170,N824MD,KCMH,,KLGA,1:41,,1:41,1:41,,,,,1,1,,,,,,1:41,,
2017-06-03,E170,N644RW,KORD,,KEWR,1:56,,1:56,1:56,,,,,1,1,,,,,,1:56,,
2017-06-03,E170,N655RW,KEWR,,KSDF,2:11,,2:11,2:11,,,,,1,1,,,,,,2:11,,
